floc,floc_description,work_order_id,work_order_basic_finish_date,work_order_desc,activity_type,level
BR200964-91-01,Bridge 125.790km TRACK 1,80107727,2022-08-25,BBR GA MII-TOT 125.74-125.84 Up (BEE CK),C20,Structure Track
BR200964-91-01,Bridge 125.790km TRACK 1,80111146,2023-02-15,SR_ Cab 125.74-125.84 Up (BEE CK),C20,Structure Track
BR200964-91-01,Bridge 125.790km TRACK 1,80111057,2023-02-20,MII-TOT UP Slashing work 125.74-125.84km,C44,Structure Track
BR200964-91-01,Bridge 125.790km TRACK 1,80111009,2023-02-22,SR_BBR GA MII-TOT 125.74-125.84 Up,C20,Structure Track
BR200964-91-01,Bridge 125.790km TRACK 1,80107334,2023-03-19,BBR GA MII-TOT UP 125.74-125.84 100m (Be,C20,Structure Track
BR200964-91-01,Bridge 125.790km TRACK 1,80111576,2023-03-22,SR_BBR MII-TOT 125.74-125.84 Up (BEE CK),C20,Structure Track
BR200964-91-01,Bridge 125.790km TRACK 1,80111253,2023-03-23,SR_BBR MI-SW 125.74-125.84 Up,C20,Structure Track
BR200964-91-01,Bridge 125.790km TRACK 1,80111330,2023-03-23,Mindi - Tootoolah Up C20,C20,Structure Track
BR200964-91-01,Bridge 125.790km TRACK 1,80111157,2023-04-06,MII-TOT UP TSR Support 125.74-125.84km,C20,Structure Track
BR201054,Bridge 109.820km DN BRMI Nebo Creek,80109941,2022-10-04,SR_OH ISO_BRA/MII_109.700-109.900,C07,Bridges
BR201095,Bridge 109.820km UP BRMI Nebo Creek,80105926,2021-11-29,Braeside - Mindi Up Rd C20,C20,Bridges
BR300130,Bridge 11.320km BYAA Unknown,80109074,2023-01-10,FY23 NL Inspect BY-AA 11.320km,C20,Bridges
BR300248,Bridge 12.195km BYAA Dinner Creek,80114495,2023-08-11,Structures Renewal.,C50,Bridges
BR300391-91-01,Bridge 72.250km TRACK 1,80106985,2022-04-25,AOO-CSV IP Closure Support 71.950km,C20,Structure Track
BR300391-91-01,Bridge 72.250km TRACK 1,80109194,2022-08-29,SR_cab Bridge Rollouts (Devlin Ck),C20,Structure Track
BR300391-91-01,Bridge 72.250km TRACK 1,80109518,2022-09-14,Almoola - Collinsville Main C20,C20,Structure Track
BR300391-91-01,Bridge 72.250km TRACK 1,80109249,2022-09-15,SR_Bridge Rollouts  Renewal (Devlin Ck),C20,Structure Track
BR300391-91-01,Bridge 72.250km TRACK 1,80109203,2022-09-16,ALM-CSV AR Support 72.220km-72.265km,C20,Structure Track
BR300391-91-01,Bridge 72.250km TRACK 1,80104142,2022-10-04,BBR NL BRI-CSV Devlin Ck 72.230-72.275KM,C20,Structure Track
BR300600-91-01,Bridge 80.430km TRACK 1,80109195,2022-08-30,SR_cab Pelican Creek 80.355-80.505KM.,C20,Structure Track
BR300600-91-01,Bridge 80.430km TRACK 1,80109261,2022-09-13,SR_CE-SA BBR Pelican Creek 80.355-80.505,C20,Structure Track
BR300600-91-01,Bridge 80.430km TRACK 1,80109508,2022-09-15,Mcnaughton Jct - Sonoma Main C20,C20,Structure Track
